dataset,method,k,variance,silhouette,bcp,bcr
iris,k_medoids,3,30.479524293285987,0.48866744088128566,0.8340223149649374,0.8393600000000002
iris,k_mean,3,29.321223619824995,0.49994952824051286,0.8160851898556809,0.823146666666666
wine,k_medoids,3,99.62603162115232,0.291187102113,0.8768892542392681,0.8805319442842539
wine,k_mean,3,88.7304569378394,0.30001522740505165,0.9057709393444493,0.9071372052539949
ILPD,k_medoids,2,180.1480256983493,0.23839147008283226,0.5913348722139716,0.5019864565408823
ILPD,k_mean,2,175.9491300910853,0.24904312037955642,0.5911860921297961,0.49798980655667824
2Dpoints,k_medoids,4,9.643757325072121,0.580579682401676,0,0
2Dpoints,k_mean,4,10.872080249944714,0.537691924379951,0,0
seeds_dataset,k_medoids,5,53.38124017401902,0.2860388518672367,0,0
seeds_dataset,k_mean,5,53.02621187453617,0.29873770560681995,0,0
BuddyMove,k_medoids,6,69.09803390036993,0.27293724975711725,0,0
BuddyMove,k_mean,6,66.94451775093428,0.26203732380746947,0,0
UserKnowledge,k_medoids,6,97.48860771935315,0.18403749790350954,0,0
UserKnowledge,k_mean,6,93.84295823947869,0.18874910068583203,0,0
HCV,k_medoids,3,131.3815369802942,0.1363229184074773,0,0
HCV,k_means,3,128.77609411471914,0.2050672268343871,0,0
WeeklySales,k_medoids,3,416.43033770907493,0.6092010313931122,0,0
WeeklySales,k_mean,3,367.7852800415598,0.615092500666192,0,0
WholeSale,k_medoids,8,40.934244135684935,0.24889256914177965,0,0
WholeSale,k_mean,8,42.46538470438329,0.2872228659194841,0,0
TravelReview,k_medoids,7,333.2838919562064,0.1291690107461592,0,0
TravelReview,k_mean,7,318.80359640966617,0.1430446830869918,0,0
